target,model,feature,importance
n,FCNN,B11_std,-0.0052631578947368255
n,FCNN,B12_std,-0.0052631578947368255
n,FCNN,temperature_c,0.014736842105263215
n,FCNN,humidity_percent,-0.021052631578947323
n,FCNN,altitude_m,-0.019999999999999973
n,FCNN,elevation_m,-0.015789473684210485
n,FCNN,slope_deg,-0.007368421052631535
n,FCNN,aspect_deg,-0.011578947368421
n,FCNN,twi,-0.007368421052631535
n,FCNN,curvature,-0.004210526315789442
n,FCNN,northness,-0.01684210526315787
n,FCNN,eastness,-0.002105263157894688
n,FCNN,sg_phh2o_0-5cm,-0.015789473684210485
n,FCNN,sg_phh2o_5-15cm,0.007368421052631602
n,FCNN,sg_soc_0-5cm,-0.025263157894736786
n,FCNN,sg_soc_5-15cm,-0.015789473684210485
n,FCNN,sg_nitrogen_0-5cm,-0.01684210526315786
n,FCNN,sg_nitrogen_5-15cm,-0.009473684210526268
n,FCNN,sg_clay_0-5cm,-0.00947368421052629
n,FCNN,sg_clay_5-15cm,0.021052631578947423
n,FCNN,sg_sand_0-5cm,-0.015789473684210485
n,FCNN,sg_sand_5-15cm,-0.0189473684210526
n,FCNN,sg_cec_0-5cm,0.004210526315789509
n,FCNN,sg_cec_5-15cm,-0.021052631578947323
n,FCNN,NDVI,0.0031578947368421486
n,FCNN,EVI,-0.0010526315789473385
n,FCNN,SAVI,-0.0031578947368420705
n,FCNN,MSAVI,-0.005263157894736792
n,FCNN,NDRE,0.003157894736842126
n,FCNN,CHL_re,-0.004210526315789442
n,FCNN,BSI,0.020000000000000063
n,FCNN,BI,-0.011578947368420989
n,FCNN,NDWI,0.003157894736842126
n,FCNN,NDMI,0.008421052631578973
n,FCNN,crops_broccoli,0.0
n,FCNN,crops_cabbage,-0.0157894736842105
n,FCNN,"crops_cabbage,custom_chinese",0.0
n,FCNN,"crops_cabbage,custom_chinese_cabbage",-0.008421052631578885
n,FCNN,crops_carrot,-0.002105263157894721
n,FCNN,"crops_carrot,lettuce,custom_green_ice",0.0
n,FCNN,crops_corn,-0.004210526315789454
n,FCNN,crops_lettuce,0.008421052631578973
n,FCNN,"crops_lettuce,custom_chinese",0.0
n,FCNN,"crops_lettuce,custom_follow_through",0.0
n,FCNN,"crops_lettuce,custom_iceberg",0.0
n,FCNN,"crops_lettuce,custom_iceberg_lettuce",0.0
n,FCNN,crops_potato,0.00631578947368423
n,FCNN,crops_radish,-0.007368421052631547
n,FCNN,crops_tomato,-0.0010526315789473606
p,XGBoost,B01,0.015814175829291344
p,XGBoost,B02,0.015579504892230034
p,XGBoost,B03,0.015898732468485832
p,XGBoost,B04,0.013183477334678173
p,XGBoost,B05,0.01977439597249031
p,XGBoost,B06,0.013300813734531403
p,XGBoost,B07,0.014372069388628006
p,XGBoost,B08,0.014942070469260216
p,XGBoost,B8A,0.011707058176398277
p,XGBoost,B09,0.022238029167056084
p,XGBoost,B11,0.012918836437165737
p,XGBoost,B12,0.012685049325227737
p,XGBoost,B01_std,0.01153389923274517
p,XGBoost,B02_std,0.013746161013841629
p,XGBoost,B03_std,0.014336786232888699
p,XGBoost,B04_std,0.018559623509645462
p,XGBoost,B05_std,0.017880922183394432
p,XGBoost,B06_std,0.015663813799619675
p,XGBoost,B07_std,0.015623417682945728
p,XGBoost,B08_std,0.01465554814785719
p,XGBoost,B8A_std,0.013409238308668137
p,XGBoost,B09_std,0.023982595652341843
p,XGBoost,B11_std,0.017965683713555336
p,XGBoost,B12_std,0.026126539334654808
p,XGBoost,temperature_c,0.018376894295215607
p,XGBoost,humidity_percent,0.022308403626084328
p,XGBoost,altitude_m,0.015348775312304497
p,XGBoost,elevation_m,0.023439284414052963
p,XGBoost,slope_deg,0.011431303806602955
p,XGBoost,aspect_deg,0.011733461171388626
p,XGBoost,twi,0.014939680695533752
p,XGBoost,curvature,0.0
p,XGBoost,northness,0.012398038059473038
p,XGBoost,eastness,0.011445735581219196
p,XGBoost,sg_phh2o_0-5cm,0.01406768150627613
p,XGBoost,sg_phh2o_5-15cm,0.01119912974536419
p,XGBoost,sg_soc_0-5cm,0.011053537018597126
p,XGBoost,sg_soc_5-15cm,0.010933524928987026
p,XGBoost,sg_nitrogen_0-5cm,0.01307324692606926
p,XGBoost,sg_nitrogen_5-15cm,0.0144769586622715
p,XGBoost,sg_clay_0-5cm,0.012033860199153423
p,XGBoost,sg_clay_5-15cm,0.011724384501576424
p,XGBoost,sg_sand_0-5cm,0.01145923975855112
p,XGBoost,sg_sand_5-15cm,0.048958051949739456
p,XGBoost,sg_cec_0-5cm,0.013709407299757004
p,XGBoost,sg_cec_5-15cm,0.01062703039497137
p,XGBoost,NDVI,0.016512518748641014
p,XGBoost,EVI,0.010650957934558392
p,XGBoost,SAVI,0.0173471812158823
p,XGBoost,MSAVI,0.01665966957807541
p,XGBoost,NDRE,0.01673806458711624
p,XGBoost,CHL_re,0.01645788736641407
p,XGBoost,BSI,0.011158163659274578
p,XGBoost,BI,0.015338067896664143
p,XGBoost,NDWI,0.0180565994232893
p,XGBoost,NDMI,0.012099073268473148
p,XGBoost,crops_broccoli,0.0
p,XGBoost,crops_cabbage,0.012734129093587399
p,XGBoost,"crops_cabbage,custom_chinese",0.0
p,XGBoost,"crops_cabbage,custom_chinese_cabbage",0.011874943040311337
p,XGBoost,crops_carrot,0.017628980800509453
p,XGBoost,crops_corn,0.0
p,XGBoost,crops_lettuce,0.02501630038022995
p,XGBoost,"crops_lettuce,custom_chinese",0.0
p,XGBoost,"crops_lettuce,custom_follow_through",0.0
p,XGBoost,"crops_lettuce,custom_iceberg",0.0
p,XGBoost,"crops_lettuce,custom_iceberg_lettuce",0.017214417457580566
p,XGBoost,crops_potato,0.01590666174888611
p,XGBoost,crops_radish,0.011384553276002407
p,XGBoost,crops_tomato,0.026585770770907402
p,RandomForest,B01,0.01407502630578725
p,RandomForest,B02,0.020634225030380014
p,RandomForest,B03,0.020011307761810454
p,RandomForest,B04,0.02207691390840602
p,RandomForest,B05,0.016608069214018674
p,RandomForest,B06,0.013386253382336835
p,RandomForest,B07,0.011787760907677261
p,RandomForest,B08,0.016073933498741044
p,RandomForest,B8A,0.01625638244922723
p,RandomForest,B09,0.0051061708048422095
p,RandomForest,B11,0.011751234964215563
p,RandomForest,B12,0.011757176794844823
p,RandomForest,B01_std,0.007597217129078855
p,RandomForest,B02_std,0.008337775232075682
p,RandomForest,B03_std,0.008848826997766384
p,RandomForest,B04_std,0.007265586010775796
p,RandomForest,B05_std,0.006952788960947737
p,RandomForest,B06_std,0.006181819343855266
p,RandomForest,B07_std,0.005991874977019199
p,RandomForest,B08_std,0.0070755864300616885
p,RandomForest,B8A_std,0.007144757872092146
p,RandomForest,B09_std,0.0035398203289488364
p,RandomForest,B11_std,0.006189783545480272
p,RandomForest,B12_std,0.011470241650641425
p,RandomForest,temperature_c,0.057913938651656914
p,RandomForest,humidity_percent,0.07935959095734843
p,RandomForest,altitude_m,0.05666713938273689
p,RandomForest,elevation_m,0.015704297541104778
p,RandomForest,slope_deg,0.0010708492988989063
p,RandomForest,aspect_deg,0.0768036611151408
p,RandomForest,twi,0.0008292494561251036
p,RandomForest,curvature,0.000836164681845925
p,RandomForest,northness,0.07547336776452615
p,RandomForest,eastness,0.07030013336434504
p,RandomForest,sg_phh2o_0-5cm,0.004006459998958502
p,RandomForest,sg_phh2o_5-15cm,0.004346088186126574
p,RandomForest,sg_soc_0-5cm,0.00587152447735932
p,RandomForest,sg_soc_5-15cm,0.00557927149592326
p,RandomForest,sg_nitrogen_0-5cm,0.005283472304329534
p,RandomForest,sg_nitrogen_5-15cm,0.0051901543904744095
p,RandomForest,sg_clay_0-5cm,0.006050953778133493
p,RandomForest,sg_clay_5-15cm,0.006318797456728474
p,RandomForest,sg_sand_0-5cm,0.004407993362410111
p,RandomForest,sg_sand_5-15cm,0.013116176071880384
p,RandomForest,sg_cec_0-5cm,0.006386675082342017
p,RandomForest,sg_cec_5-15cm,0.00301869654301407
p,RandomForest,NDVI,0.02175260035995498
p,RandomForest,EVI,0.013595493493096519
p,RandomForest,SAVI,0.020613921476199615
p,RandomForest,MSAVI,0.020912889889229087
p,RandomForest,NDRE,0.014565902600246072
p,RandomForest,CHL_re,0.010893615318235688
p,RandomForest,BSI,0.015190544996151877
p,RandomForest,BI,0.016969816861939033
p,RandomForest,NDWI,0.026758796195994375
p,RandomForest,NDMI,0.013020686866999679
p,RandomForest,crops_broccoli,7.346558451185777e-05
p,RandomForest,crops_cabbage,0.01825417609593575
p,RandomForest,"crops_cabbage,custom_chinese",0.0
p,RandomForest,"crops_cabbage,custom_chinese_cabbage",0.003857373953199959
p,RandomForest,crops_carrot,0.007219860858588883
p,RandomForest,crops_corn,0.000838383670160719
p,RandomForest,crops_lettuce,0.009227066516140478
p,RandomForest,"crops_lettuce,custom_chinese",0.0003350543922470894
p,RandomForest,"crops_lettuce,custom_follow_through",1.1181852732957544e-05
p,RandomForest,"crops_lettuce,custom_iceberg",0.0005129617396924651
p,RandomForest,"crops_lettuce,custom_iceberg_lettuce",0.0012760413413600428
p,RandomForest,crops_potato,0.0070764831147971784
p,RandomForest,crops_radish,0.005977354732563622
p,RandomForest,crops_tomato,0.00041113922758233545
p,SVM,B01,-0.0010526315789473716
p,SVM,B02,-0.0010526315789473716
p,SVM,B03,-0.0010526315789473716
p,SVM,B04,-0.00631578947368423
p,SVM,B05,-0.0010526315789473773
p,SVM,B06,-0.008421052631578973
p,SVM,B07,-0.0063157894736842355
p,SVM,B08,0.001052631578947355
p,SVM,B8A,-0.007368421052631607
p,SVM,B09,-0.0010526315789473716
